81,81,27,0,0.946,0.1,-16.639042511,10,-0.6162608337407407,0.37037037037037035,-16.639042511,10,-0.616260833741,0.37037037037
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
82,82,27,0,0.946,0.1,-16.639042511,10,-0.6162608337407407,0.37037037037037035,-16.639042511,10,-0.616260833741,0.37037037037
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
83,83,27,0,0.9453333333333334,0.1,-16.639042511,10,-0.6162608337407407,0.37037037037037035,-16.639042511,10,-0.616260833741,0.37037037037
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
84,84,27,0,0.9446666666666667,0.1,-16.639042511,10,-0.6162608337407407,0.37037037037037035,-16.639042511,10,-0.616260833741,0.37037037037
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
84,84,28,0,0.944,0.1,-16.639042511,11,-0.59425151825,0.39285714285714285,-16.639042511,11,-0.59425151825,0.392857142857
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
85,85,28,0,0.944,0.1,-16.639042511,11,-0.59425151825,0.39285714285714285,-16.639042511,11,-0.59425151825,0.392857142857
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
86,86,28,0,0.9433333333333334,0.1,-16.639042511,11,-0.59425151825,0.39285714285714285,-16.639042511,11,-0.59425151825,0.392857142857
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
87,87,28,0,0.9426666666666667,0.1,-16.639042511,11,-0.59425151825,0.39285714285714285,-16.639042511,11,-0.59425151825,0.392857142857
